year,commodity,acres_planted,acres_harvested,production,yield,price_per_bushel
1987,Corn,66.2,59.51,"7,131.30",119.8,1.82
1988,Corn,67.72,58.25,"4,928.68",84.6,1.77
1989,Corn,72.32,64.78,"7,531.95",116.3,1.65
1990,Corn,74.17,66.95,"7,934.03",118.5,1.57
1991,Corn,75.96,68.82,"7,474.77",108.6,1.62
1992,Corn,79.31,72.08,"9,476.70",131.5,1.72
1993,Corn,73.24,62.93,"6,337.73",100.7,1.72
1994,Corn,78.92,72.51,"10,050.52",138.6,1.89
1995,Corn,71.48,65.21,"7,400.05",113.5,1.89
1996,Corn,79.23,72.64,"9,232.56",127.1,1.89
1997,Corn,79.54,72.67,"9,206.83",126.7,1.89
1998,Corn,80.17,72.59,"9,758.69",134.4,1.89
1999,Corn,77.39,70.49,"9,430.61",133.8,1.89
2000,Corn,79.55,72.44,"9,915.05",136.9,1.89
2001,Corn,75.7,68.77,"9,502.58",138.2,1.89
2002,Corn,78.89,69.33,"8,966.79",129.3,1.98
2003,Corn,78.6,70.94,"10,087.29",142.2,1.98
2004,Corn,80.93,73.63,"11,805.58",160.3,1.95
2005,Corn,81.78,75.12,"11,112.19",147.9,1.95
2006,Corn,78.33,70.64,"10,531.12",149.1,1.95
2007,Corn,93.53,86.52,"13,037.88",150.7,1.95
2008,Corn,85.98,78.57,"12,043.20",153.3,1.95
2009,Corn,86.38,79.49,"13,067.16",164.4,1.95
2010,Corn,88.19,81.45,"12,425.33",152.6,1.95
2011,Corn,91.94,83.88,"12,313.96",146.8,1.95
2012,Corn,97.29,87.37,"10,755.11",123.1,1.95
2013,Corn,95.37,87.46,"13,830.70",158.1,1.95
2014,Corn,90.6,83.15,"14,217.29",171,1.95
2015,Corn,88.02,80.75,"13,601.96",168.4,1.95
2016,Corn,94,86.75,"15,148.04",174.6,1.95
2017,Corn,90.17,82.73,"14,609.41",176.59,1.95
2018,Corn,89.13,81.74,"14,420.10",176.41,1.95
1919,Sorghum,,,,,
1920,Sorghum,,,,,
1921,Sorghum,,,,,
1922,Sorghum,,,,,
1923,Sorghum,,,,,
1924,Sorghum,,,,,
1925,Sorghum,,,,,
1926,Sorghum,,,,,
1927,Sorghum,,,,,
1928,Sorghum,,,,,
1929,Sorghum,8.83,3.52,49.97,14.2,
1930,Sorghum,9.45,3.48,37.56,10.8,
1931,Sorghum,10.69,4.44,71.91,16.2,
1932,Sorghum,12.07,4.4,66.1,15,
1933,Sorghum,12.6,4.35,54.39,12.5,
1934,Sorghum,14.61,2.4,19.21,8,
1935,Sorghum,16.49,4.6,57.61,12.5,
1936,Sorghum,13.36,2.79,30.27,10.8,
1937,Sorghum,13,4.92,69.95,14.2,
1938,Sorghum,15.56,4.7,67.21,14.3,
1939,Sorghum,17.86,4.76,53.28,11.2,
1940,Sorghum,21.21,6.37,85.82,13.5,
1941,Sorghum,18.8,6.02,113.54,18.9,
1942,Sorghum,16.08,5.99,109.65,18.3,
1943,Sorghum,17.73,6.89,109.54,15.9,
1944,Sorghum,18.46,9.39,184.98,19.7,
1945,Sorghum,15.67,6.32,96.06,15.2,
1946,Sorghum,14.27,6.67,106.03,15.9,
1947,Sorghum,11.28,5.48,93.22,17,
1948,Sorghum,13.21,7.32,131.38,18,
1949,Sorghum,11.06,6.6,148.49,22.5,
1950,Sorghum,16.06,10.35,233.54,22.6,1.05
1951,Sorghum,15.03,8.54,162.86,19.1,1.22
1952,Sorghum,12.29,5.33,90.74,17,
1953,Sorghum,14.59,6.3,115.72,18.4,
1954,Sorghum,20.15,11.72,235.58,20.1,
1955,Sorghum,23.92,12.89,242.64,18.8,
1956,Sorghum,21.38,9.21,204.88,22.2,
1957,Sorghum,26.89,19.68,567.51,28.8,
1958,Sorghum,20.68,16.52,581.01,35.2,
1959,Sorghum,19.51,15.41,555.44,36.1,
1960,Sorghum,19.6,15.6,619.95,39.7,
1961,Sorghum,14.29,10.99,480.21,43.7,
1962,Sorghum,15.06,11.57,510.28,44.1,
1963,Sorghum,17.52,13.33,585.39,43.9,
1964,Sorghum,16.77,11.74,489.8,41.7,
1965,Sorghum,17.08,13.03,672.7,51.6,
1966,Sorghum,16.37,12.81,714.99,55.8,
1967,Sorghum,18.95,14.99,755.34,50.4,
1968,Sorghum,17.79,13.89,731.28,52.6,
1969,Sorghum,17.23,13.44,729.92,54.3,
1970,Sorghum,16.96,13.57,683.18,50.4,
1971,Sorghum,20.55,16.14,868,53.8,
1972,Sorghum,17.04,13.21,801.35,60.7,
1973,Sorghum,18.99,15.7,923.22,58.8,
1974,Sorghum,17.59,13.81,622.71,45.1,
1975,Sorghum,18.08,15.4,754.35,49,1.05
1976,Sorghum,18.14,14.47,710.8,49.1,1.43
1977,Sorghum,16.64,13.8,780.94,56.6,1.9
1978,Sorghum,16.2,13.41,731.27,54.5,1.9
1979,Sorghum,15.28,12.9,807.42,62.6,2
1980,Sorghum,15.64,12.51,579.34,46.3,2.14
1981,Sorghum,15.93,13.68,875.84,64,2.28
1982,Sorghum,16.03,14.14,835.08,59.1,2.42
1983,Sorghum,11.88,10,487.52,48.7,2.52
1984,Sorghum,17.25,15.36,866.24,56.4,2.42
1985,Sorghum,18.29,16.78,"1,120.27",66.8,
1986,Sorghum,15.34,13.86,938.87,67.7,1.82
1987,Sorghum,11.76,10.53,730.81,69.4,1.74
1988,Sorghum,10.34,9.04,576.69,63.8,1.68
1989,Sorghum,12.64,11.1,615.42,55.4,1.57
1990,Sorghum,10.54,9.09,573.3,63.1,1.49
1991,Sorghum,11.06,9.87,584.86,59.3,1.54
1992,Sorghum,13.18,12.05,875.02,72.6,1.63
1993,Sorghum,9.88,8.92,534.17,59.9,1.63
1994,Sorghum,9.79,8.88,645.74,72.7,1.8
1995,Sorghum,9.43,8.25,458.65,55.6,1.8
1996,Sorghum,13.1,11.81,795.27,67.3,1.81
1997,Sorghum,10.05,9.16,633.55,69.2,1.76
1998,Sorghum,9.63,7.72,519.93,67.3,1.74
1999,Sorghum,9.29,8.54,595.17,69.7,1.74
2000,Sorghum,9.2,7.73,470.53,60.9,1.71
2001,Sorghum,10.25,8.58,514.04,59.9,1.71
2002,Sorghum,9.59,7.13,360.71,50.6,1.98
2003,Sorghum,9.42,7.8,411.22,52.7,1.98
2004,Sorghum,7.49,6.52,453.61,69.6,1.95
2005,Sorghum,6.45,5.74,392.74,68.5,1.95
2006,Sorghum,6.52,4.94,276.82,56.1,1.95
2007,Sorghum,7.71,6.79,497.45,73.2,1.95
2008,Sorghum,8.4,7.31,475.86,65.1,1.95
2009,Sorghum,6.6,5.5,381.61,69.4,1.95
2010,Sorghum,5.37,4.81,345.46,71.9,1.95
2011,Sorghum,5.45,3.95,212.99,54,1.95
2012,Sorghum,6.26,5,247.74,49.6,1.95
2013,Sorghum,8.08,6.59,392.33,59.6,1.95
2014,Sorghum,7.14,6.4,432.58,67.6,1.95
2015,Sorghum,8.46,7.85,596.75,76,1.95
2016,Sorghum,6.69,6.16,480.26,77.9,1.95
2017,Sorghum,5.63,5.04,361.87,71.74,1.95
2018,Sorghum,5.69,5.06,364.99,72.12,1.95
1866,Barley,,0.75,18.1,24,
1867,Barley,,1.06,23.85,22.5,
1868,Barley,,1.06,23.2,21.8,
1869,Barley,,1.24,29.1,23.5,
1870,Barley,,1.33,29.05,21.8,
1871,Barley,,1.35,27.69,20.5,
1872,Barley,,1.42,32.01,22.5,
1873,Barley,,1.47,30.54,20.7,
1874,Barley,,1.63,36.13,22.2,
1875,Barley,,1.7,32.81,19.3,
1876,Barley,,1.97,40.71,20.6,
1877,Barley,,1.96,39.17,20,
1878,Barley,,1.85,37.45,20.3,
1879,Barley,,1.93,42.37,22,
1880,Barley,,1.99,45.26,22.7,
1881,Barley,,2.2,48.98,22.3,
1882,Barley,,2.43,60.07,24.7,
1883,Barley,,2.47,57.13,23.1,
1884,Barley,,2.69,67.92,25.2,
1885,Barley,,2.86,63.96,22.3,
1886,Barley,,3.03,73.5,24.3,
1887,Barley,,3.26,72.4,22.2,
1888,Barley,,3.28,75.98,23.1,
1889,Barley,,3.35,80.79,24.1,
1890,Barley,,3.25,69.88,21.5,
1891,Barley,,3.59,94.16,26.2,
1892,Barley,,3.86,95.17,24.7,
1893,Barley,,3.69,87.11,23.6,
1894,Barley,,3.64,74.21,20.4,
1895,Barley,,4.19,104.48,25,
1896,Barley,,4.13,97.48,23.6,
1897,Barley,,4.12,102.58,24.9,
1898,Barley,,4.11,98.17,23.9,
1899,Barley,,4.47,118.16,26.4,
1900,Barley,,4.7,96.59,20.5,
1901,Barley,,4.96,123.8,24.9,
1902,Barley,,5.47,146.21,26.7,
1903,Barley,,6.23,149.34,24,
1904,Barley,,6.58,166.1,25.2,
1905,Barley,,6.66,171.64,25.8,
1906,Barley,,6.74,179.15,26.6,
1907,Barley,,6.85,150.58,22,
1908,Barley,,7.41,170.78,23.1,
1909,Barley,,7.7,173.07,22.5,
1910,Barley,,7.55,142.42,18.9,
1911,Barley,,7.61,145.07,19.1,
1912,Barley,,7.54,196.93,26.1,
1913,Barley,,7.67,158.82,20.7,
1914,Barley,,7.65,177.71,23.2,
1915,Barley,,7.28,206.98,28.4,
1916,Barley,,7.62,159.16,20.9,
1917,Barley,,8.45,182.21,21.6,
1918,Barley,,9.2,225.07,24.5,
1919,Barley,,6.58,131.09,19.9,
1920,Barley,,7.44,171.04,23,
1921,Barley,,7.07,132.7,18.8,
1922,Barley,,6.6,152.91,23.2,
1923,Barley,,7.15,158.99,22.2,
1924,Barley,,7.04,165.32,23.5,
1925,Barley,,8.19,192.47,23.5,
1926,Barley,8.8,7.92,166.03,21,
1927,Barley,9.51,9.47,239.07,25.3,
1928,Barley,12.83,12.74,328.35,25.8,
1929,Barley,14.7,13.56,280.64,20.7,
1930,Barley,13.58,12.63,301.62,23.9,
1931,Barley,13.82,11.18,200.28,17.9,
1932,Barley,14.56,13.21,299.39,22.7,
1933,Barley,14.2,9.64,152.84,15.9,
1934,Barley,12.02,6.58,117.39,17.8,
1935,Barley,13.96,12.44,288.67,23.2,
1936,Barley,12.84,8.33,147.74,17.7,
1937,Barley,12.35,9.97,221.89,22.3,
1938,Barley,12.17,10.61,256.62,24.2,
1939,Barley,15.51,12.74,278.19,21.8,
1940,Barley,15.69,13.53,311.28,23,
1941,Barley,15.86,14.28,362.57,25.4,
1942,Barley,19.69,16.96,429.45,25.3,
1943,Barley,17.47,14.9,322.91,21.7,
1944,Barley,14.35,12.3,276.28,22.5,
1945,Barley,11.75,10.45,266.99,25.5,
1946,Barley,11.47,10.38,265.06,25.5,
1947,Barley,11.98,10.96,281.87,25.7,
1948,Barley,13.06,11.91,315.54,26.5,
1949,Barley,11.13,9.87,237.07,24,
1950,Barley,13.01,11.16,303.77,27.2,
1951,Barley,10.79,9.42,257.21,27.3,
1952,Barley,9.19,8.24,228.17,27.7,
1953,Barley,9.62,8.68,246.72,28.4,
1954,Barley,14.74,13.37,379.25,28.4,
1955,Barley,16.29,14.52,403.07,27.8,
1956,Barley,14.73,12.85,376.66,29.3,
1957,Barley,16.4,14.87,442.76,29.8,
1958,Barley,16.15,14.79,477.37,32.3,
1959,Barley,16.77,14.87,420.2,28.3,
1960,Barley,15.53,13.86,429.01,31,
1961,Barley,15.62,12.81,392.44,30.6,
1962,Barley,14.38,12.21,427.73,35,
1963,Barley,13.45,11.24,392.83,35,
1964,Barley,11.65,10.28,386.06,37.6,
1965,Barley,10.12,9.17,393.06,42.9,
1966,Barley,11.18,10.25,392.11,38.3,
1967,Barley,10.08,9.23,373.75,40.5,
1968,Barley,10.49,9.73,426.15,43.8,
1969,Barley,10.29,9.56,427.06,44.7,
1970,Barley,10.48,9.71,416.09,42.8,
1971,Barley,11.06,10.1,462.42,45.8,
1972,Barley,10.57,9.65,421.72,43.7,
1973,Barley,11.05,10.3,417.43,40.5,
1974,Barley,8.71,7.93,298.67,37.7,
1975,Barley,9.37,8.62,379.16,44,0.9
1976,Barley,9.3,8.44,383.01,45.4,1.22
1977,Barley,10.78,9.73,427.78,44,1.63
1978,Barley,9.99,9.25,454.76,49.2,1.63
1979,Barley,8.12,7.53,383.2,50.9,1.71
1980,Barley,8.32,7.26,361.14,49.7,1.83
1981,Barley,9.62,9.04,473.51,52.4,1.95
1982,Barley,9.55,9.01,515.94,57.2,2.08
1983,Barley,10.41,9.72,508.27,52.3,2.16
1984,Barley,11.93,11.22,598.03,53.3,2.08
1985,Barley,13.14,11.59,590.21,50.9,2.08
1986,Barley,13.02,11.97,608.53,50.8,1.56
1987,Barley,10.93,9.96,521.5,52.4,1.49
1988,Barley,9.83,7.64,289.99,38,1.44
1989,Barley,9.13,8.31,404.2,48.6,1.34
1990,Barley,8.22,7.53,422.2,56.1,1.28
1991,Barley,8.94,8.41,464.33,55.2,1.32
1992,Barley,7.76,7.29,455.09,62.5,1.4
1993,Barley,7.79,6.75,398.04,58.9,1.4
1994,Barley,7.16,6.67,374.86,56.2,1.54
1995,Barley,6.69,6.28,359.38,57.2,1.54
1996,Barley,7.09,6.71,392.43,58.5,1.55
1997,Barley,6.71,6.2,359.88,58.1,1.57
1998,Barley,6.33,5.85,351.57,60.1,1.56
1999,Barley,4.98,4.57,272,59.5,1.59
2000,Barley,5.8,5.2,317.8,61.1,1.62
2001,Barley,4.95,4.27,248.33,58.1,1.65
2002,Barley,5.01,4.12,226.91,55,1.88
2003,Barley,5.35,4.73,278.28,58.9,1.88
2004,Barley,4.53,4.02,279.74,69.6,1.85
2005,Barley,3.88,3.27,211.9,64.8,1.85
2006,Barley,3.45,2.95,180.17,61.1,1.85
2007,Barley,4.02,3.5,210.11,60,1.85
2008,Barley,4.24,3.78,239.07,63.3,1.85
2009,Barley,3.57,3.11,226.6,72.8,1.85
2010,Barley,2.87,2.47,180.24,73.1,1.95
2011,Barley,2.56,2.24,154.79,69.1,1.95
2012,Barley,3.66,3.27,218.99,66.9,1.95
2013,Barley,3.53,3.04,216.75,71.3,1.95
2014,Barley,3.03,2.5,181.54,72.7,1.95
2015,Barley,3.58,3.16,218.19,69.1,1.95
2016,Barley,3.06,2.57,199.91,77.9,1.95
2017,Barley,2.49,1.96,143.26,73.02,1.95
2018,Barley,2.54,1.98,153.08,77.39,1.95
1866,Oats,,7.94,232.36,29.3,
1867,Oats,,8.18,222.61,27.2,
1868,Oats,,8.9,229.68,25.8,
1869,Oats,,9.56,284,29.7,
1870,Oats,,10.35,267.95,25.9,
1871,Oats,,11.06,306.22,27.7,
1872,Oats,,11.79,326.76,27.7,
1873,Oats,,12.01,306.91,25.6,
1874,Oats,,12.78,272.5,21.3,
1875,Oats,,13.62,364.97,26.8,
1876,Oats,,14.59,327.21,22.4,
1877,Oats,,14.82,435.33,29.4,
1878,Oats,,15.83,443.37,28,
1879,Oats,,15.96,415.44,26,
1880,Oats,,16.41,417.94,25.5,
1881,Oats,,16.92,446.13,26.4,
1882,Oats,,19.08,540.46,28.3,
1883,Oats,,20.62,605.58,29.4,
1884,Oats,,21.97,640.52,29.1,
1885,Oats,,23.35,674.15,28.9,
1886,Oats,,24.43,682.31,27.9,
